key,value
"(133, 3)",0.00018052875840822547
"(134, 1)",0.0002504158425925892
"(134, 2)",0.00021541584259258923
"(134, 3)",0.00018041584259258922
"(135, 1)",0.0002503163487801895
"(135, 2)",0.00021531634878018953
"(135, 3)",0.00018031634878018954
"(136, 1)",0.0002502303451591156
"(136, 2)",0.0002152303451591156
"(136, 3)",0.0001802303451591156
"(137, 1)",0.0002501578906719533
"(137, 2)",0.0002151578906719533
"(137, 3)",0.00018015789067195328
"(138, 1)",0.00025009903497538895
"(138, 2)",0.00021509903497538897
"(138, 3)",0.00018009903497538896
"(139, 1)",0.0002500538184061771
"(139, 2)",0.0002150538184061771
"(139, 3)",0.0001800538184061771
"(140, 1)",0.00025002227195349567
"(140, 2)",0.00021502227195349565
"(140, 3)",0.00018002227195349564
"(141, 1)",0.0002500044172377075
"(141, 2)",0.00021500441723770752
"(141, 3)",0.0001800044172377075
"(142, 1)",0.000250000266495543
"(142, 2)",0.000215000266495543
"(142, 3)",0.00018000026649554298
"(143, 1)",0.0002500098225717134
"(143, 2)",0.00021500982257171344
"(143, 3)",0.00018000982257171342
"(144, 1)",0.0002500330789169616
"(144, 2)",0.0002150330789169616
"(144, 3)",0.00018003307891696158
"(145, 1)",0.0002500700195925501
"(145, 2)",0.00021507001959255012
"(145, 3)",0.0001800700195925501
"(146, 1)",0.00025012061928118514
"(146, 2)",0.00021512061928118516
"(146, 3)",0.00018012061928118515
"(147, 1)",0.0002501848433043676
"(147, 2)",0.00021518484330436765
"(147, 3)",0.00018018484330436764
"(148, 1)",0.00025026264764616013
"(148, 2)",0.00021526264764616017
"(148, 3)",0.00018026264764616016
"(149, 1)",0.00025035397898335324
"(149, 2)",0.00021535397898335326
"(149, 3)",0.00018035397898335325
"(150, 1)",0.0002504587747220105
"(150, 2)",0.0002154587747220105
"(150, 3)",0.0001804587747220105
"(151, 1)",0.0002505769630403673
"(151, 2)",0.0002155769630403673
"(151, 3)",0.0001805769630403673
"(152, 1)",0.00025070846293805387
"(152, 2)",0.0002157084629380539
"(152, 3)",0.0001807084629380539
"(153, 1)",0.000250853184291609
