metric,mode,method,count,mean,std,min,median,max
gurobi_trust_level,all_runs,Full,0,,0.0,,,
gurobi_trust_level,success_only,RF,0,,0.0,,,
gurobi_trust_level,success_only,HCS-i,0,,0.0,,,
gurobi_trust_level,success_only,OEAC-i,0,,0.0,,,
gurobi_trust_level,success_only,KINO,0,,0.0,,,
gurobi_trust_level,success_only,Full,0,,0.0,,,
gurobi_MaxVio,all_runs,RF,0,,0.0,,,
gurobi_MaxVio,all_runs,HCS-i,0,,0.0,,,
gurobi_MaxVio,all_runs,OEAC-i,0,,0.0,,,
gurobi_MaxVio,all_runs,KINO,810,3.060577942255803e-07,1.188518165370868e-06,2.1316282072803006e-13,1.4237500067793007e-12,9.121114999288693e-06
gurobi_MaxVio,all_runs,Full,810,1.3370158885251095e-07,1.8574030305408425e-07,1.8189894035458565e-12,6.313869249652271e-08,1.639473681813719e-06
gurobi_MaxVio,success_only,RF,0,,0.0,,,
gurobi_MaxVio,success_only,HCS-i,0,,0.0,,,
gurobi_MaxVio,success_only,OEAC-i,0,,0.0,,,
gurobi_MaxVio,success_only,KINO,810,3.060577942255803e-07,1.188518165370868e-06,2.1316282072803006e-13,1.4237500067793007e-12,9.121114999288693e-06
gurobi_MaxVio,success_only,Full,810,1.3370158885251095e-07,1.8574030305408425e-07,1.8189894035458565e-12,6.313869249652271e-08,1.639473681813719e-06
gurobi_ConstrVio,all_runs,RF,0,,0.0,,,
gurobi_ConstrVio,all_runs,HCS-i,0,,0.0,,,
gurobi_ConstrVio,all_runs,OEAC-i,0,,0.0,,,
gurobi_ConstrVio,all_runs,KINO,810,3.060577942255803e-07,1.188518165370868e-06,2.1316282072803006e-13,1.4237500067793007e-12,9.121114999288693e-06
gurobi_ConstrVio,all_runs,Full,810,1.2350401739399e-07,1.6818954218136374e-07,1.8189894035458565e-12,5.9217086345597636e-08,9.964419405150693e-07
gurobi_ConstrVio,success_only,RF,0,,0.0,,,
gurobi_ConstrVio,success_only,HCS-i,0,,0.0,,,
gurobi_ConstrVio,success_only,OEAC-i,0,,0.0,,,
gurobi_ConstrVio,success_only,KINO,810,3.060577942255803e-07,1.188518165370868e-06,2.1316282072803006e-13,1.4237500067793007e-12,9.121114999288693e-06
gurobi_ConstrVio,success_only,Full,810,1.2350401739399e-07,1.6818954218136374e-07,1.8189894035458565e-12,5.9217086345597636e-08,9.964419405150693e-07
gurobi_BoundVio,all_runs,RF,0,,0.0,,,
gurobi_BoundVio,all_runs,HCS-i,0,,0.0,,,
gurobi_BoundVio,all_runs,OEAC-i,0,,0.0,,,
gurobi_BoundVio,all_runs,KINO,810,0.0,0.0,0.0,0.0,0.0
gurobi_BoundVio,all_runs,Full,810,4.1525400169674654e-08,1.2500291460927888e-07,0.0,0.0,1.639473681813719e-06
gurobi_BoundVio,success_only,RF,0,,0.0,,,
gurobi_BoundVio,success_only,HCS-i,0,,0.0,,,
gurobi_BoundVio,success_only,OEAC-i,0,,0.0,,,
gurobi_BoundVio,success_only,KINO,810,0.0,0.0,0.0,0.0,0.0
gurobi_BoundVio,success_only,Full,810,4.1525400169674654e-08,1.2500291460927888e-07,0.0,0.0,1.639473681813719e-06
gurobi_IntVio,all_runs,RF,0,,0.0,,,
gurobi_IntVio,all_runs,HCS-i,0,,0.0,,,
gurobi_IntVio,all_runs,OEAC-i,0,,0.0,,,
gurobi_IntVio,all_runs,KINO,810,0.0,0.0,0.0,0.0,0.0
gurobi_IntVio,all_runs,Full,810,8.925612218566948e-11,2.4289585311552348e-09,0.0,0.0,6.909628511060805e-08
gurobi_IntVio,success_only,RF,0,,0.0,,,
gurobi_IntVio,success_only,HCS-i,0,,0.0,,,
gurobi_IntVio,success_only,OEAC-i,0,,0.0,,,
gurobi_IntVio,success_only,KINO,810,0.0,0.0,0.0,0.0,0.0
gurobi_IntVio,success_only,Full,810,8.925612218566948e-11,2.4289585311552348e-09,0.0,0.0,6.909628511060805e-08
max_hard_constraint_violation,all_runs,RF,729,5.930002419347933,27.179040002001024,0.020315753852324647,0.029256961910276047,146.42656508089135
max_hard_constraint_violation,all_runs,HCS-i,414,0.006934068047704655,0.03538364588343646,0.0,0.0,0.2534735805449735
max_hard_constraint_violation,all_runs,OEAC-i,723,213.10260195914594,113.81784016109448,1.9171073806656924,272.41828090962525,285.331409831658
max_hard_constraint_violation,all_runs,KINO,810,2.8936472702668758e-05,7.033269248083631e-05,0.0,0.0,0.00020000000586151145
max_hard_constraint_violation,all_runs,Full,810,2.8883102947183e-05,7.033732990796109e-05,0.0,0.0,0.00020009999717629512
max_hard_constraint_violation,success_only,RF,729,5.930002419347933,27.179040002001024,0.020315753852324647,0.029256961910276047,146.42656508089135
max_hard_constraint_violation,success_only,HCS-i,414,0.006934068047704655,0.03538364588343646,0.0,0.0,0.2534735805449735
max_hard_constraint_violation,success_only,OEAC-i,723,213.10260195914594,113.81784016109448,1.9171073806656924,272.41828090962525,285.331409831658
max_hard_constraint_violation,success_only,KINO,810,2.8936472702668758e-05,7.033269248083631e-05,0.0,0.0,0.00020000000586151145
max_hard_constraint_violation,success_only,Full,810,2.8883102947183e-05,7.033732990796109e-05,0.0,0.0,0.00020009999717629512
max_nonlinear_equality_residual,all_runs,RF,0,,0.0,,,
max_nonlinear_equality_residual,all_runs,HCS-i,0,,0.0,,,
max_nonlinear_equality_residual,all_runs,OEAC-i,0,,0.0,,,
max_nonlinear_equality_residual,all_runs,KINO,0,,0.0,,,
max_nonlinear_equality_residual,all_runs,Full,0,,0.0,,,
max_nonlinear_equality_residual,success_only,RF,0,,0.0,,,
max_nonlinear_equality_residual,success_only,HCS-i,0,,0.0,,,
max_nonlinear_equality_residual,success_only,OEAC-i,0,,0.0,,,
max_nonlinear_equality_residual,success_only,KINO,0,,0.0,,,
max_nonlinear_equality_residual,success_only,Full,0,,0.0,,,
J_safe,all_runs,RF,0,,0.0,,,
J_safe,all_runs,HCS-i,0,,0.0,,,
J_safe,all_runs,OEAC-i,0,,0.0,,,
J_safe,all_runs,KINO,810,0.0,0.0,0.0,0.0,0.0
J_safe,all_runs,Full,810,4.938237482599813e-10,7.0141935464826035e-09,0.0,0.0,9.999982110371793e-08
J_safe,success_only,RF,0,,0.0,,,
J_safe,success_only,HCS-i,0,,0.0,,,
J_safe,success_only,OEAC-i,0,,0.0,,,
J_safe,success_only,KINO,810,0.0,0.0,0.0,0.0,0.0
J_safe,success_only,Full,810,4.938237482599813e-10,7.0141935464826035e-09,0.0,0.0,9.999982110371793e-08
J_perm,all_runs,RF,0,,0.0,,,
J_perm,all_runs,HCS-i,0,,0.0,,,
J_perm,all_runs,OEAC-i,0,,0.0,,,
J_perm,all_runs,KINO,810,0.0,0.0,0.0,0.0,0.0
J_perm,all_runs,Full,810,0.0,0.0,0.0,0.0,0.0
J_perm,success_only,RF,0,,0.0,,,
J_perm,success_only,HCS-i,0,,0.0,,,
J_perm,success_only,OEAC-i,0,,0.0,,,
