metric,scenario_id,method_short,count,mean,std,min,median,max
infeasible,B004,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B005,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B005,HCS-i,81,1.0,0.0,1.0,1.0,1.0
infeasible,B005,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B005,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B005,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B006,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B006,HCS-i,81,0.25925925925925924,0.44095855184409843,0.0,0.0,1.0
infeasible,B006,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B006,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B006,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B007,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B007,HCS-i,81,0.3333333333333333,0.4743416490252569,0.0,0.0,1.0
infeasible,B007,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B007,OEAC-i,81,0.07407407407407407,0.2635231383473649,0.0,0.0,1.0
infeasible,B007,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B008,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B008,HCS-i,81,0.25925925925925924,0.44095855184409843,0.0,0.0,1.0
infeasible,B008,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B008,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B008,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B009,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B009,HCS-i,81,0.5925925925925926,0.49441323247304414,0.0,1.0,1.0
infeasible,B009,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B009,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B009,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B010,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B010,HCS-i,81,1.0,0.0,1.0,1.0,1.0
infeasible,B010,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B010,OEAC-i,81,1.0,0.0,1.0,1.0,1.0
infeasible,B010,RF,81,0.0,0.0,0.0,0.0,0.0
comparison_target_m,B001,Full,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B001,HCS-i,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B001,KINO,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B001,OEAC-i,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B001,RF,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B002,Full,81,2237.7599999999998,0.0,2237.7599999999998,2237.7599999999998,2237.7599999999998
comparison_target_m,B002,HCS-i,81,2237.7599999999998,0.0,2237.7599999999998,2237.7599999999998,2237.7599999999998
comparison_target_m,B002,KINO,81,2237.7599999999998,0.0,2237.7599999999998,2237.7599999999998,2237.7599999999998
comparison_target_m,B002,OEAC-i,81,2237.7599999999998,0.0,2237.7599999999998,2237.7599999999998,2237.7599999999998
comparison_target_m,B002,RF,81,2237.7599999999998,0.0,2237.7599999999998,2237.7599999999998,2237.7599999999998
comparison_target_m,B003,Full,81,2197.44,0.0,2197.44,2197.44,2197.44
comparison_target_m,B003,HCS-i,81,2197.44,0.0,2197.44,2197.44,2197.44
comparison_target_m,B003,KINO,81,2197.44,0.0,2197.44,2197.44,2197.44
comparison_target_m,B003,OEAC-i,81,2197.44,0.0,2197.44,2197.44,2197.44
comparison_target_m,B003,RF,81,2197.44,0.0,2197.44,2197.44,2197.44
comparison_target_m,B004,Full,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B004,HCS-i,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B004,KINO,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B004,OEAC-i,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B004,RF,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B005,Full,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B005,HCS-i,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B005,KINO,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B005,OEAC-i,81,2217.6,0.0,2217.6,2217.6,2217.6
comparison_target_m,B005,RF,81,2217.6,0.0,2217.6,2217.6,2217.6
