k,s,v,a,lane_sequence,SOC,mf,Pe,Pm_pos,Pm_neg,Pb,Ftr,Fbr
38,561.5,17.743571134350844,-1.0719012553991738,2,0.599448180135864,0.03691643507660642,-1.0407783402471837e-10,0.019037905462260363,0.015489970465073827,0.007212254872833959,0.00018395959251631824,1346.9948485377272
39,579.2435711343506,16.671669878951676,-0.9231418789420025,2,0.5994481797351832,0.03691643507660641,0.0,0.019037905400968304,0.015489970421185714,0.007212254844230973,0.00019578723597725857,1137.7334160142545
40,595.9152410133019,15.748528000009678,-0.7319497285168213,2,0.5994481793345023,0.03691643507660641,0.0,0.019037905463879675,0.015489970386657607,0.0072122549452077935,0.00020726383221335355,862.0406965394723
41,611.6637690133115,15.016578271492861,-0.5231980761733608,2,0.5994481789338215,0.03691643507660641,0.0,0.01903790558440732,0.015489970267889513,0.00721225518601868,0.00021736646206498846,557.0472979694177
42,626.6803472848038,14.493380195319505,-0.3100538589277919,2,0.5994481785331407,0.03691643507660641,0.0,0.019037906046593066,0.015489969836042528,0.007212256088220688,0.00022521325309930954,242.63590058411137
43,641.1737274801227,14.183326336391717,-0.1027556303562247,2,0.5994481781324598,0.03691643507660641,0.0,1011.7087123081061,0.007693731962455766,1124.1138670946852,65.62388222725204,9.481979815900712e-05
44,655.3570538165137,14.080570706035497,0.11521140285269338,2,0.5993857273620656,0.03691643507660641,0.0,6003.830099313236,0.007693671932625159,6670.915408265523,392.27931370866355,0.0
45,669.4376245225485,14.195782108888194,0.3357975914512603,2,0.5990151209504954,0.036916435076606406,0.0,11191.93409044375,0.007693666497866489,12435.47539841543,725.3261712567532,9.473610920740508e-05
46,683.6334066314356,14.531579700339458,0.5526865867192965,2,0.5983242612061389,0.0369164350766064,16669.947788124206,0.015374131772626979,0.022392930206810165,-0.003071268549876948,1055.3804764544252,0.0
47,698.1649863386709,15.084266287058758,0.749565295788537,2,0.598324261376765,0.038183331421775095,22267.430699642537,0.0153741330447551,0.02239292443182917,-0.003071261938918362,1358.1058167846472,0.0
48,713.2492526257292,15.8338315828473,0.9045761516065514,2,0.5983242615473906,0.039842051570750076,27550.009614845516,0.015374133719839077,0.02239292137770638,-0.0030712584401145424,1600.7497778257543,0.0
49,729.0830842085766,16.738407734453855,0.3918195833996372,2,0.5983242617180161,0.041870552243789265,15360.334650666602,0.015374131291827355,0.022392932397461495,-0.00307127105568495,844.2560155962973,0.0
50,745.8214919430302,17.130227317853496,-0.13022731890170336,2,0.5983242618886423,0.04304577566933593,0.0,1254.1437779865414,0.0076937168913436315,1393.4861623065106,67.35492624348055,7.850792933458697e-05
51,762.9517192608837,16.9999999989518,-1.2052567277542892e-09,1,0.5982468459907364,0.04304577566933593,0.0,4837.341895342037,0.00769367468456039,5374.817403850603,261.7851450475495,0.0
52,779.9517192598355,16.99999999774655,2.9366720166734694e-10,1,0.5979482450238558,0.04304577566933593,0.0,4853.336506152925,0.0076936746649632765,5392.589193640496,262.6507357689335,0.0
53,796.951719257582,16.99999999804022,0.0,1,0.5976486567353202,0.04304577566933593,0.0,4869.331058672631,0.007693674618194664,5410.3609186624335,263.5163233126239,0.0
54,813.9517192556223,16.999999998040217,0.0,1,0.5973480811287278,0.04304577566933593,0.0,4885.32560971074,0.007693674571734408,5428.132642038152,264.3819107806709,7.910904918639885e-05
55,830.9517192536625,16.999999998040213,0.0,1,0.5970465182041702,0.04304577566933593,0.0,4901.320151229554,0.0076936745255759146,5445.904354836875,265.24749773355614,0.0
56,847.9517192517028,16.999999998040213,0.0,1,0.5967439679622348,0.04304577566933593,0.0,4917.31468317377,0.007693674479716214,5463.6760569971575,266.1130841682866,0.0
57,864.9517192497431,16.99999999804021,0.0,1,0.5964404304035128,0.04304577566933593,0.0,4933.309205488041,0.0076936744341523705,5481.447748457499,266.9786700818671,0.0
58,881.9517192477833,16.999999998040206,0.0,1,0.5961359055285985,0.04304577566933593,0.0,4949.303720331064,0.007693674388882282,5499.219431616455,267.8442555911206,0.0
59,898.9517192458235,16.99999999812008,-5.643202016791804e-10,1,0.5958303933379532,0.04304577566933593,0.0,4965.298205407377,0.007693674343895425,5516.991081701288,268.70983948820844,0.0
60,915.9517192439436,16.999999997555765,-0.04245938776723168,1,0.5955238938334142,0.04304577566933593,0.0,3804.4292487215607,0.007693678587528035,4227.1366853798945,205.88634300839823,7.910912059802547e-05
61,932.9517192414993,16.95754060978856,0.04245939021146408,1,0.5952890529064486,0.04304577566933593,6148.106825478234,0.01537410082707705,0.022393093823017032,-0.0030714501884074943,333.55378307048704,0.0
62,949.9092598512879,16.999999999555694,1.3013616700028474,1,0.5952890530770848,0.043576143147119405,41083.632133995015,0.015374134800067059,0.022392916507163248,-0.0030712528563724105,2223.349123940241,0.0
63,966.9092598508436,18.30136167000285,1.1631902536708658,1,0.59528905324771,0.046551997396499054,40488.14361246704,0.015374134758006062,0.02239291669632894,-0.003071253073355977,2035.3177177654507,0.0
64,985.2106215208464,19.46455192367376,0.5354480665374373,1,0.5952890534183352,0.049486167449371746,23529.40050982344,0.015374133234748944,0.02239292357351701,-0.0030712609553331487,1112.1263975988186,0.0
65,1004.6751734445202,19.999999990211126,8.512852200937004e-09,1,0.5952890535889608,0.05123322548505939,6918.813875302295,0.01537411357053905,0.022393017977456717,-0.003071367768000991,318.2651155500757,0.0
66,1024.6751734347313,19.999999998723982,-6.837237442880451e-10,1,0.5952890537595923,0.05181754245633055,6937.630561498532,0.015374113754070221,0.022393016850096596,-0.003071366549453357,319.13068297975093,0.0
67,1044.6751734334553,19.999999998040263,0.0,1,0.5952890539302238,0.052403176595635446,6956.447552750315,0.015374113952941188,0.022393015829199746,-0.0030713654096784504,319.9962645883836,0.0
68,1064.6751734314955,19.999999998078017,-1.4601181375084552e-10,1,0.5952890541008552,0.052990127924327966,6975.264502938445,0.015374114146660876,0.022393014821222416,-0.003071364287254758,320.861844296572,0.0
69,1084.6751734295735,19.999999997931994,-0.01963046145763722,1,0.5952890542714866,0.05357839643953366,6353.959660450566,0.015374105163331531,0.02239306347338748,-0.0030714180556803625,292.2818215388662,0.0
70,1104.6751734275056,19.980369536474356,,1,0.5952890544421209,0.0541231736157652,,,,,,
