

===== RUN WITH C:\Users\mhasa42\AppData\Local\anaconda3\envs\raiselab\python.exe =====
Realistic SUMO replay step 69/240: k=69   t=69.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=335.8 m
Realistic SUMO replay step 70/240: k=70   t=70.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=322.5 m
Realistic SUMO replay step 71/240: k=71   t=71.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=309.3 m
Realistic SUMO replay step 72/240: k=72   t=72.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=296.1 m
Realistic SUMO replay step 73/240: k=73   t=73.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=282.9 m
Realistic SUMO replay step 74/240: k=74   t=74.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=269.8 m
Realistic SUMO replay step 75/240: k=75   t=75.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=256.6 m
Realistic SUMO replay step 76/240: k=76   t=76.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=243.5 m
Realistic SUMO replay step 77/240: k=77   t=77.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=230.4 m
Realistic SUMO replay step 78/240: k=78   t=78.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=217.4 m
Realistic SUMO replay step 79/240: k=79   t=79.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=204.4 m
Realistic SUMO replay step 80/240: k=80   t=80.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=191.4 m
Realistic SUMO replay step 81/240: k=81   t=81.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=178.4 m
Realistic SUMO replay step 82/240: k=82   t=82.0s   ego lane=3   v=12.9 m/s   next NS 1: stop/yield control, distance=165.4 m
Realistic SUMO replay step 83/240: k=83   t=83.0s   ego lane=3   v=12.9 m/s   next NS 1: stop/yield control, distance=152.5 m
Realistic SUMO replay step 84/240: k=84   t=84.0s   ego lane=3   v=12.9 m/s   next NS 1: stop/yield control, distance=139.6 m
Realistic SUMO replay step 85/240: k=85   t=85.0s   ego lane=3   v=12.8 m/s   next NS 1: stop/yield control, distance=126.7 m
Realistic SUMO replay step 86/240: k=86   t=86.0s   ego lane=3   v=12.8 m/s   next NS 1: stop/yield control, distance=113.9 m
Realistic SUMO replay step 87/240: k=87   t=87.0s   ego lane=3   v=12.8 m/s   next NS 1: stop/yield control, distance=101.1 m
Realistic SUMO replay step 88/240: k=88   t=88.0s   ego lane=3   v=12.7 m/s   next NS 1: stop/yield control, distance=88.3 m
Realistic SUMO replay step 89/240: k=89   t=89.0s   ego lane=3   v=12.7 m/s   next NS 1: stop/yield control, distance=75.6 m
Realistic SUMO replay step 90/240: k=90   t=90.0s   ego lane=3   v=12.7 m/s   next NS 1: stop/yield control, distance=62.9 m
Realistic SUMO replay step 91/240: k=91   t=91.0s   ego lane=3   v=12.6 m/s   next NS 1: stop/yield control, distance=50.2 m
Realistic SUMO replay step 92/240: k=92   t=92.0s   ego lane=3   v=12.1 m/s   next NS 1: stop/yield control, distance=37.6 m
Realistic SUMO replay step 93/240: k=93   t=93.0s   ego lane=3   v=10.5 m/s   next NS 1: stop/yield control, distance=25.5 m
Realistic SUMO replay step 94/240: k=94   t=94.0s   ego lane=3   v=8.0 m/s   next NS 1: stop/yield control, distance=15.0 m
Realistic SUMO replay step 95/240: k=95   t=95.0s   ego lane=3   v=5.0 m/s   next NS 1: stop/yield control, distance=7.0 m
Realistic SUMO replay step 96/240: k=96   t=96.0s   ego lane=3   v=2.0 m/s   next NS 1: stop/yield control, distance=2.0 m
Realistic SUMO replay step 97/240: k=97   t=97.0s   ego lane=3   v=0.0 m/s   next NS 1: stop/yield control, distance=0.0 m
Realistic SUMO replay step 98/240: k=98   t=98.0s   ego lane=3   v=0.0 m/s   next NS 1: stop/yield control, distance=0.0 m
Realistic SUMO replay step 99/240: k=99   t=99.0s   ego lane=3   v=0.0 m/s   next NS 1: stop/yield control, distance=0.0 m
Realistic SUMO replay step 100/240: k=100   t=100.0s   ego lane=3   v=2.0 m/s   next NS 1: stop/yield control, distance=0.0 m
Realistic SUMO replay step 101/240: k=101   t=101.0s   ego lane=3   v=4.0 m/s   next NS 1: stop/yield control, distance=-2.0 m
Realistic SUMO replay step 102/240: k=102   t=102.0s   ego lane=3   v=6.0 m/s   next NS 1: stop/yield control, distance=-6.0 m
Realistic SUMO replay step 103/240: k=103   t=103.0s   ego lane=3   v=8.0 m/s   next NS 1: stop/yield control, distance=-12.0 m
